# Nmax = 5
# L1 L2 L3   u11 u12 u13   u21 u22 u23   u31 u32 u33   (periodicity)
7.0711 6.1628 0.0229   5 3 4   3 2 -5   0 0 1   (1)
7.0711 6.2064 0.0228   5 -3 4   2 4 5   0 3 2   (1)
7.0711 6.2113 0.0228   5 3 -4   3 4 4   0 1 3   (1)
7.0711 6.2145 0.0228   5 4 3   1 5 -4   2 0 3   (1)
7.0711 6.2514 0.0226   5 4 3   -3 5 3   4 1 1   (1)
7.0711 6.2753 0.0225   5 4 3   -5 4 0   2 1 1   (1)
7.0711 6.2785 0.0225   5 4 3   4 -3 5   2 2 1   (1)
7.0711 6.3024 0.0224   5 3 -4   0 4 5   1 2 1   (1)
7.0711 6.3340 0.0223   5 4 -3   3 3 5   1 1 2   (1)
7.0711 6.3545 0.0223   5 4 -3   4 1 5   1 0 2   (1)
7.0711 6.3640 0.0222   5 4 3   4 0 -5   1 1 1   (1)
7.0711 6.3781 0.0222   5 3 4   -4 4 3   0 1 1   (1)
7.0711 6.4016 0.0221   5 4 3   0 4 -5   2 1 2   (1)
7.0711 6.4031 0.0221   5 4 3   4 -5 0   2 1 1   (12)
7.0711 6.4281 0.0220   5 4 3   4 5 -4   1 1 0   (1)
7.0711 6.4420 0.0220   4 3 -5   5 5 2   2 2 1   (1)
7.0711 6.4514 0.0219   5 3 4   4 -5 2   1 2 1   (1)
7.0711 6.4668 0.0219   5 3 4   4 1 -5   1 1 3   (1)
7.0711 6.4792 0.0218   5 4 3   -4 1 5   1 1 1   (1)
7.0711 6.5253 0.0217   5 4 -3   2 4 5   1 1 0   (1)
7.0711 6.5330 0.0216   4 3 -5   3 3 5   1 1 2   (1)
7.0711 6.5818 0.0215   5 3 4   5 5 -3   1 0 3   (1)
7.0711 6.5863 0.0215   5 3 -4   2 5 4   0 2 3   (1)
7.0711 6.6498 0.0213   5 4 3   -3 5 4   1 0 0   (1)
7.0711 6.6543 0.0213   4 3 -5   5 2 4   1 0 3   (1)
7.0711 6.6948 0.0211   4 -5 3   2 4 5   1 1 2   (1)
7.0711 6.7022 0.0211   5 4 3   2 -5 4   2 2 1   (1)
7.0711 6.8615 0.0206   5 4 -3   5 1 5   2 0 3   (1)
7.0711 6.9412 0.0204   5 -3 4   4 5 4   1 1 1   (1)
7.0711 6.9556 0.0203   5 4 3   -4 5 3   0 3 2   (1)
7.0711 7.0014 0.0202   5 3 4   -4 5 3   1 2 2   (1)
7.0711 7.0228 0.0201   5 4 3   5 3 -5   1 1 2   (1)
7.0711 7.0356 0.0201   5 3 4   2 -5 5   1 2 0   (1)
7.0711 7.0512 0.0201   5 -4 3   5 5 1   1 2 0   (1)
7.0711 7.0555 0.0200   5 -4 3   4 4 5   1 3 2   (1)
4.6904 7.0775 0.0301   3 3 2   5 3 -5   0 1 4   (1)
4.2426 7.0789 0.0333   4 1 1   1 5 -5   2 1 0   (1)
5.3852 7.0808 0.0262   5 0 -2   1 5 5   3 2 1   (1)
5.3852 7.0881 0.0262   4 2 3   4 5 -4   1 0 2   (1)
5.7446 7.0882 0.0246   5 2 2   1 -5 5   1 2 -1   (1)
6.5574 7.0908 0.0215   5 3 3   4 -5 4   2 2 1   (1)
7.0711 7.0908 0.0199   4 3 -5   1 5 5   0 2 3   (1)
5.1962 7.0920 0.0271   5 1 1   2 -5 5   2 2 -1   (1)
2.4495 7.0946 0.0575   2 1 1   1 5 -5   1 1 0   (1)
5.7446 7.0946 0.0245   2 2 -5   2 5 5   1 2 1   (1)
5.0990 7.0982 0.0276   4 1 3   -5 1 5   0 1 4   (1)
6.4031 7.0986 0.0220   5 0 4   5 1 -5   1 0 1   (1)
5.8310 7.1022 0.0241   4 3 -3   5 5 4   1 1 1   (1)
6.7082 7.1024 0.0210   5 4 2   1 -5 5   1 0 1   (1)
5.4772 7.1040 0.0257   5 -2 1   4 5 4   0 2 1   (1)
4.1231 7.1043 0.0341   3 2 2   -5 1 5   0 1 2   (1)
3.7417 7.1063 0.0376   3 1 2   5 2 -5   0 0 1   (1)
5.8310 7.1084 0.0241   4 3 -3   1 5 5   1 2 1   (1)
3.1623 7.1134 0.0445   3 1 0   -1 5 5   0 1 1   (1)
6.4807 7.1147 0.0217   5 1 4   -5 1 5   1 0 0   (1)
3.7417 7.1214 0.0375   3 2 1   1 -5 5   1 1 0   (1)
3.3166 7.1223 0.0423   3 1 1   2 -5 5   1 2 -1   (1)
6.4031 7.1243 0.0219   4 4 3   -4 5 4   1 0 0   (1)
6.4031 7.1260 0.0219   4 4 3   5 -5 1   1 2 1   (1)
5.3852 7.1269 0.0261   4 2 3   4 -5 5   1 3 0   (1)
4.6904 7.1287 0.0299   3 3 2   -5 1 5   2 1 0   (1)
5.8310 7.1332 0.0240   4 3 3   -5 1 5   3 1 0   (1)
5.0990 7.1333 0.0275   4 3 1   -5 2 5   2 1 0   (1)
3.0000 7.1336 0.0467   2 1 -2   5 1 5   1 0 2   (1)
7.0711 7.1358 0.0198   5 4 3   -5 5 1   4 0 1   (1)
4.1231 7.1373 0.0340   4 1 0   -1 5 5   0 1 1   (1)
4.5826 7.1381 0.0306   4 1 2   -5 2 5   1 0 0   (1)
5.3852 7.1390 0.0260   4 -3 2   1 5 5   2 1 3   (1)
5.7446 7.1393 0.0244   4 4 1   5 -5 1   0 1 0   (1)
6.4031 7.1397 0.0219   4 4 3   1 -5 5   1 2 0   (1)
7.1414 0.1980 0.7071   5 5 1   1 1 0   0 1 0   (1)
7.1414 0.7140 0.1961   5 5 1   1 0 0   0 1 0   (1)
7.1414 0.7670 0.1826   5 5 1   1 2 0   0 1 0   (1)
7.1414 0.8632 0.1622   5 5 1   3 2 0   1 1 0   (1)
7.1414 0.9901 0.1414   5 5 1   2 1 1   1 1 0   (1)
7.1414 1.1376 0.1231   5 5 1   1 0 1   1 1 0   (1)
7.1414 1.2986 0.1078   5 5 1   1 0 -1   1 1 0   (1)
7.1414 1.4142 0.0990   5 5 1   1 -1 0   1 0 0   (12)
7.1414 1.4686 0.0953   5 5 1   1 3 0   0 1 0   (1)
7.1414 1.6209 0.0864   5 5 1   0 2 1   2 1 0   (1)
7.1414 1.6450 0.0851   5 5 1   3 2 2   1 1 0   (1)
7.1414 1.8257 0.0767   5 5 1   2 1 2   1 1 0   (1)
7.1414 1.8471 0.0758   5 5 1   0 2 -1   2 1 1   (1)
7.1414 2.0098 0.0697   5 5 1   1 0 2   1 1 0   (1)
7.1414 2.1236 0.0659   5 5 1   2 -1 0   1 0 0   (1)
7.1414 2.1783 0.0643   5 5 1   1 4 0   0 1 0   (1)
7.1414 2.1963 0.0638   5 5 1   1 0 -2   1 1 0   (1)
7.1414 2.2317 0.0627   5 5 1   3 0 1   1 2 0   (1)
7.1414 2.3846 0.0587   5 5 1   2 1 -2   1 1 0   (1)
7.1414 2.4334 0.0575   5 5 1   1 -1 2   1 0 1   (1)
7.1414 2.4813 0.0564   5 5 1   3 0 -1   0 2 1   (1)
7.1414 2.5744 0.0544   5 5 1   3 2 3   1 1 0   (1)
7.1414 2.7080 0.0517   5 5 1   3 0 2   0 2 -1   (1)
7.1414 2.7653 0.0506   5 5 1   2 1 3   1 1 0   (1)
7.1414 2.8354 0.0494   5 5 1   3 -1 0   1 0 0   (1)
7.1414 2.8901 0.0485   5 5 1   0 4 1   1 0 0   (1)
7.1414 2.9572 0.0474   5 5 1   1 0 3   1 1 0   (1)
7.1414 2.9967 0.0467   5 5 1   2 -2 1   1 2 0   (1)
7.1414 3.1123 0.0450   5 5 1   3 0 -2   1 2 1   (1)
7.1414 3.1499 0.0445   5 5 1   1 0 -3   1 1 0   (1)
7.1414 3.2600 0.0430   5 5 1   1 4 3   0 1 1   (1)
7.1414 3.3431 0.0419   5 5 1   2 1 -3   1 1 0   (1)
7.1414 3.4698 0.0404   5 5 1   0 2 -3   2 1 2   (1)
7.1414 3.5369 0.0396   5 1 -5   2 0 3   1 0 1   (1)
7.1414 3.5480 0.0395   5 5 1   4 -1 0   1 0 0   (1)
7.1414 3.5700 0.0392   5 5 1   2 -1 3   1 0 1   (1)
7.1414 3.6028 0.0389   5 5 1   -1 4 1   1 0 0   (1)
7.1414 3.6461 0.0384   5 5 1   3 -2 1   1 3 0   (1)
7.1414 3.6995 0.0379   5 5 1   -3 2 1   3 1 0   (1)
7.1414 3.7312 0.0375   5 5 1   2 1 4   1 1 0   (1)
7.1414 3.7626 0.0372   5 5 1   1 -4 1   1 2 0   (1)
7.1414 3.8246 0.0366   5 5 1   0 4 3   1 2 1   (1)
7.1414 3.8348 0.0365   5 5 1   1 3 4   0 1 2   (1)
7.1414 3.9158 0.0358   5 5 1   -1 4 2   2 1 0   (1)
7.1414 3.9258 0.0357   5 5 1   1 0 4   1 1 0   (1)
7.1414 4.0049 0.0350   5 5 1   -2 3 2   0 2 1   (1)
7.1414 4.0632 0.0345   5 5 -1   4 1 3   1 0 1   (1)
7.1414 4.1016 0.0341   5 5 1   2 -3 2   2 0 1   (1)
7.1414 4.1207 0.0340   5 5 1   1 0 -4   1 1 0   (1)
7.1414 4.2055 0.0333   5 5 1   1 -1 4   1 0 2   (1)
7.1414 4.2334 0.0331   5 5 1   3 0 4   1 2 -1   (1)
4.2426 7.1414 0.0330   4 1 1   3 5 -5   1 -1 2   (1)
7.1414 4.2611 0.0329   5 5 1   5 -1 0   1 0 0   (1)
7.1414 4.3160 0.0324   5 5 1   -2 4 1   1 0 0   (1)
7.1414 4.3970 0.0318   5 5 1   0 4 -3   1 0 1   (1)
7.1414 4.4325 0.0316   5 5 1   -1 4 3   3 2 0   (1)
7.1414 4.5114 0.0310   5 5 1   3 2 5   1 1 0   (1)
7.1414 4.5288 0.0309   5 5 1   5 -1 2   1 2 0   (1)
7.1414 4.5547 0.0307   5 -5 1   3 2 3   0 2 1   (1)
7.1414 4.5804 0.0306   5 5 -1   3 1 4   1 0 2   (1)
7.1414 4.6820 0.0299   5 5 1   -3 3 2   2 1 0   (1)
7.1414 4.7071 0.0297   5 5 1   2 1 5   1 1 0   (1)
7.1414 4.7568 0.0294   5 5 1   3 0 -4   0 2 3   (1)
7.1414 4.8142 0.0291   5 5 1   -4 1 3   1 2 1   (1)
7.1414 4.9030 0.0286   5 5 1   1 0 5   1 1 0   (1)
7.1414 4.9507 0.0283   5 1 -5   3 0 4   1 0 1   (1)
7.1414 4.9587 0.0282   5 1 -5   2 0 5   1 0 2   (1)
7.1414 5.0293 0.0278   5 5 1   -3 4 1   1 0 0   (1)
7.1414 5.0682 0.0276   5 5 1   3 -4 1   4 0 1   (1)
7.1414 5.0913 0.0275   5 5 1   4 -1 4   2 1 1   (1)
7.1414 5.0990 0.0275   5 5 1   1 0 -5   1 1 0   (12)
7.1414 5.1144 0.0274   5 5 1   2 -5 1   1 3 0   (1)
7.1414 5.2281 0.0268   5 5 1   5 -2 2   3 0 1   (1)
7.1414 5.2356 0.0267   5 1 -5   3 4 2   0 2 3   (1)
7.1414 5.2952 0.0264   5 5 1   2 1 -5   1 1 0   (1)
7.1414 5.3395 0.0262   5 5 1   0 2 -5   2 1 3   (1)
7.1414 5.3614 0.0261   5 5 1   4 0 5   0 -1 1   (1)
7.1414 5.3833 0.0260   5 5 1   2 -3 4   3 1 2   (1)
7.1414 5.4485 0.0257   5 5 1   -5 2 2   2 1 0   (1)
7.1414 5.4915 0.0255   5 5 1   3 2 -5   1 1 0   (1)
7.1414 5.5342 0.0253   5 5 1   -4 1 4   0 1 1   (1)
7.1414 5.6256 0.0249   5 5 1   -2 5 3   0 2 1   (1)
7.1414 5.6603 0.0247   5 1 -5   5 0 3   2 0 1   (1)
7.1414 5.6880 0.0246   5 5 1   4 3 -5   1 1 0   (1)
7.1414 5.7017 0.0246   5 5 1   2 -2 5   1 2 -1   (1)
7.1414 5.7223 0.0245   5 5 1   4 -3 3   2 0 1   (1)
7.1414 5.7429 0.0244   5 5 1   -4 4 1   1 0 0   (1)
7.1414 5.8040 0.0241   5 5 1   -3 3 4   1 2 1   (1)
7.1414 5.8242 0.0240   5 1 -5   3 3 4   0 1 3   (1)
7.1414 5.8444 0.0240   5 5 1   4 -1 5   1 0 1   (1)
7.1414 5.8845 0.0238   5 5 1   5 4 -5   1 1 0   (1)
7.1414 5.9310 0.0236   5 5 1   -3 5 2   0 3 1   (1)
7.1414 6.0033 0.0233   5 -5 1   3 2 5   1 1 2   (1)
7.1414 6.0488 0.0231   5 5 -1   4 0 5   2 1 1   (1)
7.1414 6.0618 0.0231   5 5 1   3 -5 2   1 2 0   (1)
7.1414 6.0812 0.0230   5 5 1   1 -5 4   2 1 1   (1)
7.1414 6.1580 0.0227   5 5 1   -2 5 4   3 2 0   (1)
7.1414 6.1644 0.0227   5 1 -5   2 5 3   1 2 1   (12)
7.1414 6.2779 0.0223   5 5 1   -3 4 4   0 3 2   (1)
7.1414 6.3277 0.0221   5 -5 1   1 4 5   0 1 1   (1)
7.1414 6.3647 0.0220   5 1 -5   4 0 5   1 0 1   (1)
7.1414 6.3893 0.0219   5 1 -5   4 3 4   1 1 2   (1)
7.1414 6.4016 0.0219   5 -5 1   3 4 4   0 2 1   (1)
7.1414 6.4565 0.0217   5 5 1   -5 4 1   1 0 0   (1)
7.1414 6.5290 0.0214   5 1 -5   2 4 5   0 1 2   (1)
7.1414 6.6362 0.0211   5 5 1   -4 5 2   3 1 0   (1)
7.1414 6.6716 0.0210   5 5 1   -4 2 5   0 1 1   (1)
7.1414 6.7939 0.0206   5 5 1   -2 5 5   1 2 1   (1)
7.1414 6.9818 0.0201   5 5 1   -4 5 3   2 1 0   (1)
7.1414 7.0210 0.0199   5 5 1   -5 3 4   3 2 0   (1)
7.1414 7.0655 0.0198   5 -5 1   4 5 3   0 4 1   (1)
7.1414 7.0711 0.0198   5 5 1   3 -4 5   2 1 1   (12)
4.1231 7.1497 0.0339   3 -2 2   4 5 4   1 1 1   (1)
5.9161 7.1514 0.0236   3 -5 1   5 2 5   0 3 1   (1)
5.1962 7.1544 0.0269   5 1 1   4 5 -5   2 0 1   (1)
5.3852 7.1559 0.0259   4 2 3   5 2 -5   2 1 1   (1)
3.7417 7.1564 0.0373   3 -2 1   4 4 5   2 1 2   (1)
5.3852 7.1583 0.0259   5 0 -2   5 3 5   1 1 2   (1)
6.4807 7.1614 0.0215   5 1 4   5 5 -3   3 2 0   (1)
5.4772 7.1671 0.0255   2 -5 1   4 5 4   1 1 1   (1)
5.0990 7.1737 0.0273   4 3 1   5 -4 4   2 0 1   (1)
4.6904 7.1764 0.0297   3 -3 2   5 4 4   1 3 1   (1)
6.4031 7.1806 0.0217   5 -4 0   2 5 5   2 1 2   (1)
7.0711 7.1819 0.0197   5 4 3   5 -5 2   2 0 1   (1)
4.5826 7.1880 0.0304   2 1 -4   5 5 2   2 2 1   (1)
6.5574 7.1885 0.0212   5 3 3   2 5 -5   1 1 0   (1)
6.1644 7.2020 0.0225   5 3 2   -5 2 5   1 1 1   (1)
4.1231 7.2029 0.0337   3 2 2   5 -5 3   0 1 0   (1)
6.4031 7.2077 0.0217   4 4 -3   3 5 5   1 2 3   (1)
5.8310 7.2131 0.0238   5 3 0   5 -4 4   3 0 1   (1)
5.3852 7.2135 0.0257   5 -2 0   4 4 5   3 1 2   (1)
7.1414 7.2138 0.0194   5 -5 1   2 5 5   0 3 2   (1)
5.0000 7.2139 0.0277   4 3 0   -2 5 5   1 2 1   (1)
3.6056 7.2164 0.0384   3 2 0   -5 5 2   0 4 1   (1)
6.1644 7.2166 0.0225   5 3 2   5 -4 5   2 3 0   (1)
3.1623 7.2180 0.0438   3 0 1   -4 4 5   1 1 2   (1)
5.0990 7.2191 0.0272   4 1 3   5 2 -5   1 0 4   (1)
5.9161 7.2230 0.0234   5 3 1   -5 5 2   1 0 0   (1)
5.7446 7.2237 0.0241   5 2 2   3 -5 5   1 1 0   (1)
4.5826 7.2276 0.0302   4 2 1   4 -5 4   1 1 0   (1)
6.1644 7.2293 0.0224   5 2 3   5 3 -5   1 0 4   (1)
4.6904 7.2426 0.0294   3 3 2   -4 4 5   0 1 1   (1)
5.4772 7.2434 0.0252   2 1 -5   3 5 5   1 2 3   (1)
5.7446 7.2467 0.0240   4 4 1   2 -5 5   3 1 2   (1)
5.1962 7.2470 0.0266   5 1 1   -4 4 5   1 0 0   (1)
6.1644 7.2493 0.0224   5 -3 2   4 5 4   0 3 1   (1)
6.7082 7.2556 0.0205   5 2 -4   4 5 4   2 2 1   (1)
1.7321 7.2572 0.0796   1 1 -1   5 2 5   1 0 2   (1)
4.1231 7.2639 0.0334   4 -1 0   5 5 4   2 1 1   (1)
3.6056 7.2642 0.0382   3 2 0   2 -5 5   2 0 1   (1)
6.4807 7.2687 0.0212   5 -4 1   5 5 2   3 1 1   (1)
4.6904 7.2707 0.0293   3 3 2   4 5 -5   1 1 1   (1)
3.3166 7.2739 0.0415   3 1 1   4 5 -5   1 0 1   (1)
6.7082 7.2740 0.0205   5 4 2   -5 2 5   1 3 3   (1)
2.4495 7.2801 0.0561   2 1 -1   3 5 5   0 1 2   (12)
5.0000 7.2801 0.0275   4 0 -3   5 2 5   2 1 3   (1)
5.0990 7.2828 0.0269   5 0 -1   2 5 5   1 2 2   (1)
6.4031 7.2885 0.0214   4 -4 3   5 5 2   2 1 1   (1)
4.3589 7.2909 0.0315   3 3 1   -5 2 5   0 1 1   (1)
5.4772 7.2915 0.0250   5 2 1   2 -5 5   2 0 1   (1)
5.3852 7.2919 0.0255   3 -4 2   5 3 5   2 1 2   (1)
5.8310 7.2963 0.0235   4 3 3   5 -5 3   1 4 1   (1)
5.8310 7.2983 0.0235   5 0 3   2 5 -5   2 1 0   (1)
6.1644 7.3036 0.0222   5 2 -3   2 5 5   0 2 3   (1)
3.7417 7.3046 0.0366   3 1 2   -5 2 5   1 0 0   (1)
6.4031 7.3069 0.0214   5 0 -4   5 2 5   2 1 3   (1)
6.4807 7.3079 0.0211   5 4 1   2 -5 5   4 0 3   (1)
5.8310 7.3103 0.0235   4 3 3   -4 5 4   1 1 1   (1)
5.3852 7.3108 0.0254   3 -4 2   2 5 5   0 2 1   (1)
4.1231 7.3124 0.0332   4 0 -1   2 5 5   1 2 2   (1)
7.0711 7.3144 0.0193   5 3 4   2 5 -5   2 1 2   (1)
5.3852 7.3179 0.0254   5 2 0   -4 5 4   1 2 1   (1)
3.0000 7.3182 0.0455   2 2 1   5 -5 2   0 1 0   (1)
6.5574 7.3231 0.0208   3 3 -5   5 2 5   2 1 1   (1)
5.0990 7.3249 0.0268   4 3 1   -5 5 2   1 0 0   (1)
5.3852 7.3273 0.0253   4 2 3   2 5 -5   1 1 0   (1)
4.3589 7.3341 0.0313   3 3 1   -5 5 2   1 0 0   (1)
2.2361 7.3348 0.0610   2 0 -1   2 5 5   1 2 2   (1)
5.7446 7.3402 0.0237   4 4 1   -5 5 2   0 3 1   (1)
5.0990 7.3406 0.0267   4 3 1   4 -4 5   3 0 2   (1)
3.0000 7.3409 0.0454   2 2 1   2 -5 5   1 0 1   (1)
3.1623 7.3417 0.0431   3 0 -1   2 5 5   1 2 2   (1)
3.7417 7.3436 0.0364   3 1 -2   2 5 5   0 2 3   (1)
4.1231 7.3445 0.0330   2 2 -3   5 2 5   2 1 1   (1)
4.5826 7.3452 0.0297   2 -4 1   4 5 4   1 1 1   (1)
4.6904 7.3454 0.0290   3 2 -3   2 5 5   0 1 2   (1)
5.3852 7.3461 0.0253   4 2 3   -5 2 5   0 1 2   (1)
5.4772 7.3462 0.0249   5 1 -2   5 4 5   2 2 3   (1)
5.8310 7.3465 0.0233   4 3 3   -5 5 2   0 3 2   (1)
6.7082 7.3470 0.0203   5 4 2   -5 5 2   2 2 1   (1)
7.0711 7.3471 0.0192   5 3 4   -5 2 5   3 1 1   (1)
7.3485 0.1925 0.7071   5 5 2   2 2 1   1 0 0   (1)
7.3485 0.7071 0.1925   5 5 2   3 2 1   1 0 0   (1)
7.3485 0.7328 0.1857   5 5 2   0 1 0   2 0 1   (1)
7.3485 0.8051 0.1690   5 5 2   1 2 1   1 0 0   (1)
7.3485 0.9129 0.1491   5 5 2   1 2 0   1 0 1   (1)
7.3485 1.0453 0.1302   5 5 2   0 1 1   2 1 0   (1)
7.3485 1.1941 0.1140   5 5 2   3 2 0   0 1 1   (1)
7.3485 1.3540 0.1005   5 5 2   0 1 -1   2 3 0   (1)
7.3485 1.4272 0.0953   5 5 2   3 1 1   0 1 0   (1)
7.3485 1.5215 0.0894   5 5 2   2 1 2   0 -1 1   (1)
7.3485 1.5275 0.0891   5 5 2   0 2 1   1 0 0   (1)
7.3485 1.6942 0.0803   5 5 2   1 2 -1   1 0 2   (1)
7.3485 1.7105 0.0796   5 5 2   1 -1 1   1 2 0   (1)
7.3485 1.8708 0.0727   5 5 2   0 1 2   2 2 1   (1)
7.3485 1.9532 0.0697   5 5 2   0 2 -1   1 0 1   (1)
7.3485 2.0503 0.0664   5 5 2   3 2 -1   0 1 2   (1)
7.3485 2.1300 0.0639   5 5 2   2 -1 0   0 4 1   (1)
7.3485 2.1560 0.0631   5 5 2   3 0 1   0 1 0   (1)
7.3485 2.2319 0.0610   5 5 2   0 1 -2   2 2 1   (1)
7.3485 2.2361 0.0609   5 5 2   3 1 -1   0 1 1   (1)
7.3485 2.2567 0.0603   5 5 2   -1 2 1   1 0 0   (1)
7.3485 2.3294 0.0584   5 5 2   4 1 0   0 2 1   (1)
7.3485 2.4152 0.0563   5 5 2   2 1 3   0 -1 2   (1)
7.3485 2.5129 0.0542   5 5 2   3 0 2   2 1 1   (1)
7.3485 2.5459 0.0535   5 5 2   3 1 3   0 1 -1   (1)
7.3485 2.5999 0.0523   5 5 2   1 2 -2   1 0 3   (1)
7.3485 2.6211 0.0519   5 5 2   3 0 -1   2 1 0   (1)
7.3485 2.7855 0.0489   5 5 2   0 1 3   2 2 1   (1)
7.3485 2.8350 0.0480   5 5 2   4 0 1   -1 2 0   (1)
7.3485 2.8642 0.0475   5 5 2   1 4 -1   1 2 0   (1)
7.3485 2.8739 0.0474   5 5 2   2 0 3   0 -1 1   (1)
7.3485 2.8868 0.0471   5 5 2   3 -1 1   0 1 0   (1)
7.3485 2.9721 0.0458   5 5 2   3 2 -2   0 1 3   (1)
7.3485 2.9876 0.0455   5 5 2   -2 2 1   1 0 0   (1)
7.3485 2.9969 0.0454   5 5 2   -2 1 2   0 1 1   (1)
7.3485 3.1329 0.0434   5 5 2   -3 1 1   1 2 1   (1)
7.3485 3.1593 0.0431   5 5 2   0 1 -3   2 2 1   (1)
7.3485 3.2146 0.0423   5 5 2   1 -1 3   2 1 2   (1)
7.3485 3.2801 0.0415   5 5 2   3 0 -2   0 1 1   (1)
7.3485 3.3166 0.0410   5 5 2   4 0 -1   1 2 1   (1)
7.3485 3.3472 0.0407   5 5 2   2 1 4   0 -1 3   (1)
7.3485 3.4292 0.0397   5 5 2   2 -1 3   2 3 0   (1)
7.3485 3.5329 0.0385   5 5 2   4 0 3   1 2 0   (1)
7.3485 3.5355 0.0385   5 5 2   1 2 -3   2 2 1   (1)
7.3485 3.5408 0.0384   5 5 2   -2 3 0   4 0 1   (1)
7.3485 3.5564 0.0383   5 2 -5   4 1 1   1 0 2   (1)
7.3485 3.5642 0.0382   5 5 2   0 2 -3   1 0 2   (1)
7.3485 3.5824 0.0380   5 5 2   -1 4 0   3 0 1   (1)
7.3485 3.6184 0.0376   5 5 2   3 -2 1   0 1 0   (1)
7.3485 3.7193 0.0366   5 5 2   -3 2 1   1 0 0   (1)
7.3485 3.7243 0.0365   5 5 2   0 1 4   2 2 1   (1)
7.3485 3.7392 0.0364   5 5 2   -2 1 3   3 2 0   (1)
7.3485 3.7761 0.0360   5 5 2   -1 3 3   2 1 0   (1)
7.3485 3.7835 0.0360   5 5 2   -1 4 2   0 2 1   (1)
7.3485 3.8562 0.0353   5 5 2   1 -4 1   2 0 1   (1)
7.3485 3.8992 0.0349   5 5 2   3 0 4   0 1 -1   (1)
7.3485 3.9134 0.0348   5 5 2   3 2 -3   0 1 4   (1)
7.3485 3.9205 0.0347   5 5 2   3 1 -3   0 1 2   (1)
7.3485 3.9370 0.0346   5 5 2   -2 3 2   1 2 1   (1)
7.3485 4.0415 0.0337   5 5 2   -2 2 3   0 1 1   (1)
7.3485 4.1028 0.0332   5 5 2   0 1 -4   2 2 1   (1)
7.3485 4.1209 0.0330   5 5 2   2 -3 2   2 1 1   (1)
7.3485 4.2230 0.0322   5 -5 2   4 1 3   1 1 1   (1)
7.3485 4.2273 0.0322   5 2 -5   2 4 1   0 1 1   (1)
7.3485 4.2470 0.0320   5 -5 2   5 1 1   2 3 0   (1)
7.3485 4.2817 0.0318   5 5 2   3 1 5   0 1 -2   (1)
7.3485 4.2925 0.0317   5 5 2   1 2 5   2 2 1   (1)
7.3485 4.3248 0.0315   5 5 2   1 -3 3   1 0 1   (1)
7.3485 4.3312 0.0314   5 2 -5   1 2 4   1 1 1   (1)
7.3485 4.3504 0.0313   5 5 2   3 -3 1   0 1 0   (1)
7.3485 4.3949 0.0310   5 5 2   4 1 -3   0 2 3   (1)
7.3485 4.4451 0.0306   5 5 2   3 -2 3   1 2 0   (1)
7.3485 4.4514 0.0306   5 5 2   -4 2 1   1 0 0   (1)
7.3485 4.4825 0.0304   5 5 2   1 2 -4   2 2 1   (1)
7.3485 4.6228 0.0294   5 5 2   4 0 -3   3 2 0   (1)
7.3485 4.6468 0.0293   5 5 2   2 0 5   0 -1 2   (1)
7.3485 4.6726 0.0291   5 5 2   0 1 5   2 2 1   (1)
7.3485 4.6884 0.0290   5 5 2   -3 2 3   2 1 0   (1)
7.3485 4.7356 0.0287   5 5 2   3 0 5   2 1 2   (1)
7.3485 4.7415 0.0287   5 5 2   -1 5 3   1 2 1   (1)
7.3485 4.8170 0.0283   5 -5 2   4 1 4   0 2 1   (1)
7.3485 4.8629 0.0280   5 5 2   2 3 -4   2 2 1   (1)
7.3485 4.9084 0.0277   5 5 -2   0 3 4   1 2 1   (1)
7.3485 4.9254 0.0276   5 5 2   4 -2 3   2 1 1   (1)
7.3485 4.9329 0.0276   5 5 2   0 4 5   3 2 0   (1)
7.3485 4.9497 0.0275   5 2 -5   1 3 4   0 1 2   (1)
7.3485 4.9535 0.0275   5 5 2   4 -3 0   2 3 1   (1)
7.3485 4.9647 0.0274   5 -5 2   5 2 1   1 2 0   (1)
7.3485 4.9833 0.0273   5 5 2   -2 5 0   3 1 1   (1)
7.3485 5.0093 0.0272   5 5 2   4 -3 1   3 1 1   (1)
7.3485 5.0148 0.0271   5 5 2   1 -1 5   2 1 3   (1)
7.3485 5.0534 0.0269   5 5 2   0 1 -5   2 2 1   (1)
7.3485 5.0827 0.0268   5 5 2   3 -4 1   0 1 0   (1)
7.3485 5.0863 0.0268   5 5 2   -2 3 4   0 1 1   (1)
7.3485 5.1837 0.0263   5 5 2   -5 2 1   1 0 0   (1)
7.3485 5.2440 0.0259   5 -5 2   4 3 2   2 1 1   (1)
7.3485 5.2529 0.0259   5 -5 2   3 1 5   0 1 1   (1)
7.3485 5.2582 0.0259   5 5 -2   4 1 4   2 1 1   (1)
7.3485 5.3576 0.0254   5 5 2   2 -4 3   1 2 0   (1)
7.3485 5.3697 0.0253   5 5 2   2 -3 4   1 0 1   (1)
7.3485 5.3834 0.0253   5 5 2   3 -4 2   2 0 1   (1)
7.3485 5.3852 0.0253   5 5 2   0 2 -5   1 0 3   (12)
7.3485 5.4348 0.0250   5 5 2   -2 1 5   0 1 2   (1)
7.3485 5.4620 0.0249   5 5 2   -2 5 3   4 1 0   (1)
7.3485 5.5160 0.0247   5 2 -5   4 5 1   0 2 3   (1)
7.3485 5.5461 0.0245   5 5 2   -5 2 2   1 2 1   (1)
7.3485 5.5811 0.0244   5 2 -5   2 5 2   0 1 1   (1)
