# Nmax = 5
# L1 L2 L3   u11 u12 u13   u21 u22 u23   u31 u32 u33   (periodicity)
4.3589 3.6274 0.0632   3 3 1   0 4 3   2 1 0   (1)
4.3589 3.7134 0.0618   3 3 1   0 5 2   1 0 0   (1)
4.3589 3.7417 0.0613   3 -3 1   1 2 3   0 1 1   (12)
4.3589 3.7975 0.0604   3 3 1   1 0 4   1 1 0   (1)
4.3589 3.8251 0.0600   3 3 1   -4 1 1   0 2 1   (1)
4.3589 3.9603 0.0579   3 3 1   5 0 -1   0 2 1   (1)
4.3589 4.0653 0.0564   3 3 1   -2 2 3   0 1 1   (1)
4.3589 4.1167 0.0557   3 3 1   1 0 -4   1 1 0   (1)
4.3589 4.1422 0.0554   3 3 1   1 -1 4   1 0 2   (1)
4.3589 4.2920 0.0535   3 3 1   5 -1 0   1 0 0   (1)
3.7417 4.3834 0.0610   3 2 1   4 0 -3   2 1 0   (1)
3.0000 4.3843 0.0760   2 1 -2   1 2 4   1 1 1   (1)
4.2426 4.3906 0.0537   4 1 1   1 3 4   1 0 0   (1)
4.2426 4.4284 0.0532   4 1 1   2 0 5   1 0 2   (1)
4.3589 4.4367 0.0517   3 3 1   -4 2 1   1 0 0   (1)
3.6056 4.4463 0.0624   3 2 0   2 -1 4   1 0 1   (1)
3.7417 4.4561 0.0600   3 2 1   1 1 5   0 0 1   (1)
4.1231 4.4590 0.0544   3 2 2   1 5 -1   1 0 1   (1)
4.1231 4.4787 0.0542   4 1 0   2 5 1   1 0 0   (1)
4.3589 4.4839 0.0512   3 3 1   0 5 -2   1 2 0   (1)
3.3166 4.4924 0.0671   3 1 1   1 5 0   0 1 0   (1)
2.2361 4.4944 0.0995   2 1 0   1 5 2   0 2 1   (1)
3.7417 4.4960 0.0594   3 2 1   0 5 -1   2 0 1   (1)
3.7417 4.5119 0.0592   3 1 2   1 4 -2   1 0 1   (1)
1.4142 4.5277 0.1562   1 1 0   3 0 4   1 0 1   (1)
4.1231 4.5309 0.0535   4 0 -1   2 3 3   1 1 1   (1)
3.3166 4.5327 0.0665   3 1 1   0 3 4   1 0 0   (1)
3.0000 4.5338 0.0735   2 2 1   1 0 5   1 1 0   (1)
3.1623 4.5387 0.0697   3 1 0   1 5 1   1 0 0   (1)
1.7321 4.5461 0.1270   1 1 1   5 -1 0   1 0 0   (1)
3.6056 4.5489 0.0610   3 0 2   2 1 -4   1 0 1   (1)
4.3589 4.5538 0.0504   3 3 1   4 0 -3   0 1 1   (1)
4.1231 4.5568 0.0532   4 0 1   1 4 -2   2 1 0   (1)
4.2426 4.5583 0.0517   4 1 1   1 2 -4   1 0 1   (1)
2.4495 4.5644 0.0894   2 1 1   0 5 2   1 -1 0   (1)
3.1623 4.5717 0.0692   3 1 0   1 -2 4   2 0 1   (1)
3.3166 4.5726 0.0659   3 1 1   1 -4 2   1 1 0   (1)
3.7417 4.5748 0.0584   3 1 2   2 1 -4   0 0 1   (1)
4.3589 4.5768 0.0501   3 3 1   1 -2 4   2 0 3   (1)
4.5826 0.4880 0.4472   4 2 1   1 0 0   0 1 0   (1)
4.5826 0.5345 0.4082   4 2 1   1 1 0   0 1 0   (1)
4.5826 0.8165 0.2673   4 2 1   1 1 1   1 0 0   (1)
4.5826 0.8997 0.2425   4 1 2   0 0 1   1 0 0   (1)
4.5826 1.2536 0.1741   4 2 1   0 1 1   1 0 0   (1)
